Date;Open;High;Low;Close;Volume;Market_Cap
2025-02-08;96558.4563096667;96558.4563096667;96558.4563096667;96558.4563096667;57077722340.22422;1911296376425.356
2025-02-09;96558.23762501091;96558.23762501091;96558.23762501091;96558.23762501091;20760850644.84597;1914211835440.1182
2025-02-10;96548.57865379585;96548.57865379585;96548.57865379585;96548.57865379585;25457107581.051964;1913068773356.083
2025-02-11;97399.98161383197;97399.98161383197;97399.98161383197;97399.98161383197;37054987393.57789;1930742951090.367
2025-02-12;95739.97737079239;95739.97737079239;95739.97737079239;95739.97737079239;36454577154.5622;1898788887978.3252
2025-02-13;97836.18856127483;97836.18856127483;97836.18856127483;97836.18856127483;47115618235.19051;1936842454813.9983
2025-02-14;96561.6639990985;96561.6639990985;96561.6639990985;96561.6639990985;29084371910.690556;1914315097486.3862
2025-02-15;97488.48148536457;97488.48148536457;97488.48148536457;97488.48148536457;32289906944.92862;1931656846871.4856
2025-02-16;97569.95169430465;97569.95169430465;97569.95169430465;97569.95169430465;14215311318.346336;1934308378710.2861
2025-02-17;96149.3484548204;96149.3484548204;96149.3484548204;96149.3484548204;13634794998.739267;1905012222220.3691
2025-02-18;95776.15723852723;95776.15723852723;95776.15723852723;95776.15723852723;25324374113.08163;1898997753781.9536
2025-02-19;95495.89153299287;95495.89153299287;95495.89153299287;95495.89153299287;38311133144.729355;1892702154844.508
2025-02-20;96554.87156259285;96554.87156259285;96554.87156259285;96554.87156259285;27703222487.389572;1914337919659.5537
2025-02-21;98384.31738240314;98384.31738240314;98384.31738240314;98384.31738240314;24175261969.81266;1950376106325.3228
2025-02-22;96135.15541305285;96135.15541305285;96135.15541305285;96135.15541305285;42477472950.92155;1906058197506.3809
2025-02-23;96564.15414290235;96564.15414290235;96564.15414290235;96564.15414290235;18464415570.762142;1915260330870.798
2025-02-24;96327.46309127835;96327.46309127835;96327.46309127835;96327.46309127835;16643044374.983364;1909625674815.4763
2025-02-25;91396.76686930266;91396.76686930266;91396.76686930266;91396.76686930266;45539703844.38777;1814176779160.4363
2025-02-26;88755.7693356979;88755.7693356979;88755.7693356979;88755.7693356979;96742453402.56294;1759750360550.3337
2025-02-27;83900.11496524839;83900.11496524839;83900.11496524839;83900.11496524839;69277430795.68657;1664314955447.7466
2025-02-28;84709.14477847965;84709.14477847965;84709.14477847965;84709.14477847965;81960688217.70384;1679555320077.2097
2025-03-01;84441.9012237131;84441.9012237131;84441.9012237131;84441.9012237131;80695237175.07367;1674754437110.342
2025-03-02;86005.25629681018;86005.25629681018;86005.25629681018;86005.25629681018;30634474722.6359;1705564098300.8237
2025-03-03;94261.53286538439;94261.53286538439;94261.53286538439;94261.53286538439;61859112550.80991;1868321705444.4878
2025-03-04;86124.71418722175;86124.71418722175;86124.71418722175;86124.71418722175;68715362745.4567;1708198960874.3418
2025-03-05;87310.80531078295;87310.80531078295;87310.80531078295;87310.80531078295;65863356680.42408;1731441668069.6523
2025-03-06;90604.08098523637;90604.08098523637;90604.08098523637;90604.08098523637;51606642859.81411;1797706868227.531
